filename,ssim,in_range
hd1309.jpg,0.6391,YES
hd131.jpg,0.7738,YES
hd1310.jpg,0.8375,YES
hd1311.jpg,0.7670,YES
hd1313.jpg,0.5856,NO
hd1314.jpg,0.8196,YES
hd1315.jpg,0.7946,YES
hd1317.jpg,0.7072,YES
hd1318.jpg,0.6562,YES
hd1319.jpg,0.8415,YES
hd1323.jpg,0.8186,YES
hd1320.jpg,0.6466,YES
hd1322.jpg,0.4317,NO
hd1324.jpg,0.6580,YES
hd1326.jpg,0.8002,YES
hd1327.jpg,0.7513,YES
hd1329.jpg,0.7728,YES
hd1330.jpg,0.7965,YES
hd1331.jpg,0.7682,YES
hd1332.jpg,0.7612,YES
hd1334.jpg,0.8334,YES
hd1333.jpg,0.7292,YES
hd1336.jpg,0.8600,YES
hd1337.jpg,0.7292,YES
hd1338.jpg,0.7512,YES
hd1339.jpg,0.7625,YES
hd1340.jpg,0.8074,YES
hd1341.jpg,0.6570,YES
hd1342.jpg,0.6807,YES
hd1343.jpg,0.6817,YES
hd1344.jpg,0.7722,YES
hd1345.jpg,0.6994,YES
hd1348.jpg,0.7834,YES
hd1349.jpg,0.7916,YES
hd1350.jpg,0.7782,YES
hd1352.jpg,0.8211,YES
hd1351.jpg,0.8187,YES
hd1353.jpg,0.7351,YES
hd1354.jpg,0.6131,YES
hd1355.jpg,0.5504,NO
hd1356.jpg,0.7471,YES
hd1357.jpg,0.5971,NO
hd1360.jpg,0.7813,YES
hd1358.jpg,0.6183,YES
hd1359.jpg,0.8404,YES
hd1361.jpg,0.6102,YES
hd1362.jpg,0.6300,YES
hd1363.jpg,0.6401,YES
hd1364.jpg,0.6437,YES
hd1367.jpg,0.7887,YES
hd1365.jpg,0.6787,YES
hd1368.jpg,0.6677,YES
hd1369.jpg,0.5000,NO
hd137.jpg,0.7014,YES
hd1370.jpg,0.7363,YES
hd1372.jpg,0.8101,YES
hd1371.jpg,0.6438,YES
hd1373.jpg,0.5931,NO
hd1374.jpg,0.8140,YES
hd1375.jpg,0.5937,NO
hd1377.jpg,0.5428,NO
hd1378.jpg,0.7617,YES
hd1379.jpg,0.5816,NO
hd1380.jpg,0.5389,NO
hd1381.jpg,0.6371,YES
hd1383.jpg,0.5882,NO
hd1382.jpg,0.4119,NO
